mango2, /home/hong/slowfast
config files: ['configs/contrastive_ssl/custom_BYOL_SlowR50_8x8.yaml']
num gpus: 1
[03/29 20:39:37][INFO] memchecker.py:   95: MemCheck
[03/29 20:39:37][INFO] kinetics.py:  117: Constructing Kinetics train...
--------------->>>>>
/home/hong/slowfast/index_files/train.csv
[03/29 20:39:37][INFO] kinetics.py:  174: Constructing kinetics dataloader (size: 1998 skip_rows 0) from /home/hong/slowfast/index_files/train.csv 
[03/29 20:39:37][INFO] kinetics.py:  193: init workers
init done
[03/29 20:39:37][INFO] memchecker.py:  102: Memory check model for 1998 iterations
iter306, time differene: 0.006375789642333984
iter307, time differene: 0.00044989585876464844
iter308, time differene: 0.004172563552856445
iter309, time differene: 0.0004391670227050781
iter310, time differene: 0.019495725631713867
iter311, time differene: 0.009910821914672852
iter312, time differene: 0.00038361549377441406
iter313, time differene: 0.0003306865692138672
iter314, time differene: 0.00026416778564453125
iter315, time differene: 0.0003788471221923828
iter316, time differene: 0.006424665451049805
iter317, time differene: 0.0004286766052246094
iter318, time differene: 0.000579833984375
iter319, time differene: 0.0029706954956054688
iter320, time differene: 0.009741067886352539
iter321, time differene: 0.013476848602294922
iter322, time differene: 0.0005812644958496094
iter323, time differene: 0.0003829002380371094
iter324, time differene: 0.0004532337188720703
iter325, time differene: 0.0005009174346923828
iter326, time differene: 0.00052642822265625
iter327, time differene: 0.0024030208587646484
iter328, time differene: 0.006415605545043945
iter329, time differene: 0.0005652904510498047
iter330, time differene: 0.003053903579711914
iter331, time differene: 0.01384282112121582
iter332, time differene: 0.010716676712036133
iter333, time differene: 0.0004892349243164062
iter334, time differene: 0.000591278076171875
iter335, time differene: 0.0005991458892822266
iter336, time differene: 0.0024328231811523438
iter337, time differene: 0.0004055500030517578
iter338, time differene: 0.003428220748901367
iter339, time differene: 0.00335693359375
iter340, time differene: 0.002999544143676758
iter341, time differene: 0.01414799690246582
iter342, time differene: 0.00035500526428222656
iter343, time differene: 0.0031921863555908203
iter344, time differene: 0.00047969818115234375
iter345, time differene: 0.0005140304565429688
